 CDTJune/15/2021 12:54:25:510,resultant_acc:1.197
 CDTJune/15/2021 12:54:25:603,xyz_acc:0.212 -0.031 -0.07
 CDTJune/15/2021 12:54:25:619,resultant_acc:0.225
 CDTJune/15/2021 12:54:25:710,xyz_acc:-0.09 0.008 -1.409
 CDTJune/15/2021 12:54:25:720,resultant_acc:1.412
 CDTJune/15/2021 12:54:25:789,xyz_acc:0.007 2.71 -0.794
 CDTJune/15/2021 12:54:25:795,resultant_acc:2.824
 CDTJune/15/2021 12:54:25:901,xyz_acc:-0.283 0.835 0.217
 CDTJune/15/2021 12:54:25:910,resultant_acc:0.908
 CDTJune/15/2021 12:54:25:10,xyz_acc:-0.136 -0.132 -1.634
 CDTJune/15/2021 12:54:25:23,resultant_acc:1.645
 CDTJune/15/2021 12:54:25:118,xyz_acc:-0.221 0.202 0.21
 CDTJune/15/2021 12:54:25:125,resultant_acc:0.366
 CDTJune/15/2021 12:54:26:233,xyz_acc:0.115 0.698 0.47
 CDTJune/15/2021 12:54:26:269,resultant_acc:0.849
 CDTJune/15/2021 12:54:26:308,xyz_acc:-0.183 -0.346 -1.607
 CDTJune/15/2021 12:54:26:318,resultant_acc:1.654
 CDTJune/15/2021 12:54:26:397,xyz_acc:-0.02 -0.118 -0.79
 CDTJune/15/2021 12:54:26:409,resultant_acc:0.799
 CDTJune/15/2021 12:54:26:505,xyz_acc:0.004 -0.334 -1.1
 CDTJune/15/2021 12:54:26:515,resultant_acc:1.15
 CDTJune/15/2021 12:54:26:596,xyz_acc:-0.07 0.08 -1.072
 CDTJune/15/2021 12:54:26:613,resultant_acc:1.077
 CDTJune/15/2021 12:54:26:749,xyz_acc:-0.066 -0.031 -1.128
 CDTJune/15/2021 12:54:26:764,resultant_acc:1.13
 CDTJune/15/2021 12:54:26:803,xyz_acc:-0.059 -0.038 -1.054
 CDTJune/15/2021 12:54:26:811,resultant_acc:1.056
 CDTJune/15/2021 12:54:26:900,xyz_acc:-0.056 -0.084 -1.007
 CDTJune/15/2021 12:54:26:913,resultant_acc:1.012
 CDTJune/15/2021 12:54:26:3,xyz_acc:-0.066 -0.14 -1.022
 CDTJune/15/2021 12:54:26:45,resultant_acc:1.034
 CDTJune/15/2021 12:54:26:95,xyz_acc:-0.054 -0.132 -0.996
 CDTJune/15/2021 12:54:26:129,resultant_acc:1.006
 CDTJune/15/2021 12:54:27:201,xyz_acc:-0.054 -0.188 -0.974
 CDTJune/15/2021 12:54:27:213,resultant_acc:0.993
 CDTJune/15/2021 12:54:27:292,xyz_acc:-0.054 -0.211 -0.944
 CDTJune/15/2021 12:54:27:306,resultant_acc:0.969
 CDTJune/15/2021 12:54:28:509,xyz_acc:-0.035 -0.184 -0.979
 CDTJune/15/2021 12:54:28:541,resultant_acc:0.997
