 CDTJune/30/2021 17:01:06:618,location:29.585571 -98.619584
 CDTJune/30/2021 17:01:06:621,xyz_acc:0.106 0.143 -1.038
 CDTJune/30/2021 17:01:06:623,resultant_acc:1.053
 CDTJune/30/2021 17:01:06:625,sleep:33704.0
 CDTJune/30/2021 17:01:06:656,xyz_acc:0.109 0.131 -0.995
 CDTJune/30/2021 17:01:06:658,resultant_acc:1.009
 CDTJune/30/2021 17:01:06:660,heart_rate:67.0
 CDTJune/30/2021 17:01:06:662,xyz_acc:0.107 0.125 -0.982
 CDTJune/30/2021 17:01:06:663,resultant_acc:0.996
 CDTJune/30/2021 17:01:06:751,xyz_acc:0.12 0.133 -0.989
 CDTJune/30/2021 17:01:06:756,resultant_acc:1.005
 CDTJune/30/2021 17:01:06:770,xyz_acc:0.11 0.128 -0.986
 CDTJune/30/2021 17:01:06:776,resultant_acc:1.0
 CDTJune/30/2021 17:01:06:866,xyz_acc:0.113 0.138 -0.99
 CDTJune/30/2021 17:01:06:883,resultant_acc:1.006
 CDTJune/30/2021 17:01:06:976,xyz_acc:0.114 0.133 -0.996
 CDTJune/30/2021 17:01:06:991,resultant_acc:1.011
 CDTJune/30/2021 17:01:07:102,xyz_acc:0.104 0.134 -0.987
 CDTJune/30/2021 17:01:07:122,resultant_acc:1.001
 CDTJune/30/2021 17:01:07:174,xyz_acc:0.113 0.135 -0.996
 CDTJune/30/2021 17:01:07:209,resultant_acc:1.011
 CDTJune/30/2021 17:01:07:255,xyz_acc:0.111 0.132 -0.988
 CDTJune/30/2021 17:01:07:275,resultant_acc:1.003
 CDTJune/30/2021 17:01:07:404,xyz_acc:0.101 0.134 -0.985
 CDTJune/30/2021 17:01:07:417,resultant_acc:0.999
 CDTJune/30/2021 17:01:07:469,xyz_acc:0.117 0.133 -0.988
 CDTJune/30/2021 17:01:07:491,resultant_acc:1.004
 CDTJune/30/2021 17:01:07:577,xyz_acc:0.112 0.133 -0.984
 CDTJune/30/2021 17:01:07:598,resultant_acc:0.999
 CDTJune/30/2021 17:01:07:715,xyz_acc:0.108 0.133 -0.981
 CDTJune/30/2021 17:01:07:739,resultant_acc:0.996
 CDTJune/30/2021 17:01:07:791,xyz_acc:0.119 0.143 -0.98
 CDTJune/30/2021 17:01:07:806,resultant_acc:0.998
 CDTJune/30/2021 17:01:07:865,xyz_acc:0.12 0.135 -0.989
 CDTJune/30/2021 17:01:07:877,resultant_acc:1.005
 CDTJune/30/2021 17:01:07:960,xyz_acc:0.11 0.146 -1.001
 CDTJune/30/2021 17:01:07:15,resultant_acc:1.018
 CDTJune/30/2021 17:01:08:66,xyz_acc:0.119 0.128 -0.991
 CDTJune/30/2021 17:01:08:78,resultant_acc:1.006
 CDTJune/30/2021 17:01:08:165,xyz_acc:0.112 0.141 -0.988
 CDTJune/30/2021 17:01:08:180,resultant_acc:1.004
 CDTJune/30/2021 17:01:08:302,xyz_acc:0.111 0.132 -0.983
 CDTJune/30/2021 17:01:08:315,resultant_acc:0.998
 CDTJune/30/2021 17:01:08:366,xyz_acc:0.106 0.139 -0.989
 CDTJune/30/2021 17:01:08:383,resultant_acc:1.004
 CDTJune/30/2021 17:01:08:470,xyz_acc:0.118 0.142 -0.991
 CDTJune/30/2021 17:01:08:497,resultant_acc:1.008
 CDTJune/30/2021 17:01:08:652,xyz_acc:0.113 0.129 -0.988
 CDTJune/30/2021 17:01:08:676,resultant_acc:1.003
 CDTJune/30/2021 17:01:08:679,xyz_acc:0.111 0.123 -0.981
 CDTJune/30/2021 17:01:08:733,resultant_acc:0.995
 CDTJune/30/2021 17:01:08:766,xyz_acc:0.116 0.127 -0.981
 CDTJune/30/2021 17:01:08:774,resultant_acc:0.996
 CDTJune/30/2021 17:01:08:858,xyz_acc:0.121 0.129 -0.985
 CDTJune/30/2021 17:01:08:936,resultant_acc:1.001
 CDTJune/30/2021 17:01:08:986,xyz_acc:0.12 0.131 -0.985
 CDTJune/30/2021 17:01:08:994,resultant_acc:1.001
 CDTJune/30/2021 17:01:09:71,xyz_acc:0.116 0.139 -0.984
 CDTJune/30/2021 17:01:09:92,resultant_acc:1.001
 CDTJune/30/2021 17:01:09:201,xyz_acc:0.113 0.14 -0.986
 CDTJune/30/2021 17:01:09:222,resultant_acc:1.002
 CDTJune/30/2021 17:01:09:277,xyz_acc:0.112 0.134 -0.979
 CDTJune/30/2021 17:01:09:293,resultant_acc:0.994
 CDTJune/30/2021 17:01:09:375,xyz_acc:0.114 0.133 -0.987
 CDTJune/30/2021 17:01:09:389,resultant_acc:1.002
 CDTJune/30/2021 17:01:09:503,xyz_acc:0.114 0.133 -0.984
 CDTJune/30/2021 17:01:09:516,resultant_acc:0.999
 CDTJune/30/2021 17:01:09:565,xyz_acc:0.095 0.15 -0.961
 CDTJune/30/2021 17:01:09:613,resultant_acc:0.977
 CDTJune/30/2021 17:01:09:665,xyz_acc:0.119 0.18 -0.986
 CDTJune/30/2021 17:01:09:695,resultant_acc:1.009
 CDTJune/30/2021 17:01:09:796,xyz_acc:0.117 0.113 -0.985
 CDTJune/30/2021 17:01:09:808,resultant_acc:0.998
 CDTJune/30/2021 17:01:09:858,xyz_acc:0.129 0.134 -0.997
 CDTJune/30/2021 17:01:09:877,resultant_acc:1.014
 CDTJune/30/2021 17:01:09:966,xyz_acc:0.108 0.157 -1.0
 CDTJune/30/2021 17:01:09:987,resultant_acc:1.018
 CDTJune/30/2021 17:01:09:58,xyz_acc:0.096 0.109 -0.986
 CDTJune/30/2021 17:01:10:103,resultant_acc:0.997
 CDTJune/30/2021 17:01:10:152,xyz_acc:0.063 0.133 -0.985
 CDTJune/30/2021 17:01:10:171,resultant_acc:0.996
 CDTJune/30/2021 17:01:10:268,xyz_acc:0.136 0.153 -0.996
 CDTJune/30/2021 17:01:10:279,resultant_acc:1.017
 CDTJune/30/2021 17:01:10:354,xyz_acc:0.145 0.156 -0.991
 CDTJune/30/2021 17:01:10:405,resultant_acc:1.014
 CDTJune/30/2021 17:01:10:457,xyz_acc:0.169 0.099 -0.963
 CDTJune/30/2021 17:01:10:477,resultant_acc:0.983
 CDTJune/30/2021 17:01:10:575,xyz_acc:0.116 0.135 -0.98
