CDTJune/15/2021 12:40:20:961,sleep:5852.0
 CDTJune/15/2021 12:40:57:49,xyz_acc:0.094 -0.03 -0.998
 CDTJune/15/2021 12:40:57:76,resultant_acc:1.003
 CDTJune/15/2021 12:40:58:149,xyz_acc:0.094 -0.03 -0.998
 CDTJune/15/2021 12:40:58:227,resultant_acc:1.003
 CDTJune/15/2021 12:40:58:254,xyz_acc:0.088 -0.027 -0.987
 CDTJune/15/2021 12:40:58:256,resultant_acc:0.991
 CDTJune/15/2021 12:40:58:355,xyz_acc:0.083 -0.011 -0.996
 CDTJune/15/2021 12:40:58:369,resultant_acc:1.0
 CDTJune/15/2021 12:40:58:486,xyz_acc:0.087 -0.012 -0.995
 CDTJune/15/2021 12:40:58:539,resultant_acc:0.999
 CDTJune/15/2021 12:40:58:541,xyz_acc:0.086 -0.016 -0.986
 CDTJune/15/2021 12:40:58:580,resultant_acc:0.99
 CDTJune/15/2021 12:40:58:662,xyz_acc:0.112 -0.026 -1.02
 CDTJune/15/2021 12:40:58:675,resultant_acc:1.026
 CDTJune/15/2021 12:40:58:779,xyz_acc:0.112 -0.026 -1.02
 CDTJune/15/2021 12:40:58:833,resultant_acc:1.026
 CDTJune/15/2021 12:40:58:846,xyz_acc:0.181 0.329 -1.003
 CDTJune/15/2021 12:40:58:851,resultant_acc:1.071
 CDTJune/15/2021 12:40:58:943,xyz_acc:0.215 0.128 -1.365
 CDTJune/15/2021 12:40:58:981,resultant_acc:1.388
 CDTJune/15/2021 12:40:58:113,xyz_acc:0.014 0.009 -0.63
 CDTJune/15/2021 12:40:59:174,resultant_acc:0.63
 CDTJune/15/2021 12:40:59:176,xyz_acc:-0.217 -0.182 -0.014
 CDTJune/15/2021 12:40:59:177,resultant_acc:0.284
 CDTJune/15/2021 12:40:59:238,xyz_acc:0.588 -0.121 -2.436
 CDTJune/15/2021 12:40:59:263,resultant_acc:2.509
 CDTJune/15/2021 12:40:59:394,xyz_acc:-0.021 0.287 -0.37
 CDTJune/15/2021 12:40:59:451,resultant_acc:0.469
 CDTJune/15/2021 12:40:59:453,xyz_acc:-0.095 -0.065 0.746
 CDTJune/15/2021 12:40:59:455,resultant_acc:0.755
 CDTJune/15/2021 12:40:59:554,xyz_acc:0.276 -1.504 -1.749
 CDTJune/15/2021 12:40:59:580,resultant_acc:2.323
 CDTJune/15/2021 12:40:59:684,xyz_acc:0.155 -0.001 1.037
 CDTJune/15/2021 12:40:59:751,resultant_acc:1.049
 CDTJune/15/2021 12:40:59:753,xyz_acc:-0.084 -0.783 0.353
 CDTJune/15/2021 12:40:59:754,resultant_acc:0.863
 CDTJune/15/2021 12:40:59:858,xyz_acc:0.343 -1.9 -1.822
 CDTJune/15/2021 12:40:59:898,resultant_acc:2.655
 CDTJune/15/2021 12:40:59:984,xyz_acc:0.041 -0.132 1.026
 CDTJune/15/2021 12:40:59:41,resultant_acc:1.035
 CDTJune/15/2021 12:40:59:48,xyz_acc:0.33 0.071 -0.604
 CDTJune/15/2021 12:40:59:83,resultant_acc:0.692
 CDTJune/15/2021 12:41:00:155,xyz_acc:0.499 -0.482 -2.001
 CDTJune/15/2021 12:41:00:169,resultant_acc:2.118
 CDTJune/15/2021 12:41:00:282,xyz_acc:-0.053 -0.027 1.766
 CDTJune/15/2021 12:41:00:343,resultant_acc:1.767
 CDTJune/15/2021 12:41:00:345,xyz_acc:0.629 0.003 -2.939
 CDTJune/15/2021 12:41:00:355,resultant_acc:3.006
 CDTJune/15/2021 12:41:00:451,xyz_acc:-0.361 0.179 -1.948
 CDTJune/15/2021 12:41:00:466,resultant_acc:1.989
