 CDTJune/24/2021 12:37:28:658,resultant_acc:1.228
 CDTJune/24/2021 12:37:28:742,xyz_acc:-0.022 0.081 -0.8
 CDTJune/24/2021 12:37:28:744,resultant_acc:0.804
 CDTJune/24/2021 12:37:28:895,xyz_acc:-0.021 0.239 -0.665
 CDTJune/24/2021 12:37:28:897,resultant_acc:0.707
 CDTJune/24/2021 12:37:28:986,xyz_acc:-0.095 0.865 -0.191
 CDTJune/24/2021 12:37:28:988,resultant_acc:0.891
 CDTJune/24/2021 12:37:28:42,xyz_acc:-0.123 0.965 -0.224
 CDTJune/24/2021 12:37:28:44,resultant_acc:0.998
 CDTJune/24/2021 12:37:28:191,xyz_acc:-0.115 0.938 -0.249
 CDTJune/24/2021 12:37:28:194,resultant_acc:0.977
 CDTJune/24/2021 12:37:28:255,xyz_acc:-0.114 0.926 -0.205
 CDTJune/24/2021 12:37:28:257,resultant_acc:0.955
 CDTJune/24/2021 12:37:28:339,xyz_acc:-0.114 0.962 -0.242
 CDTJune/24/2021 12:37:28:372,resultant_acc:0.999
 CDTJune/24/2021 12:37:28:529,xyz_acc:-0.123 0.977 -0.227
 CDTJune/24/2021 12:37:28:531,resultant_acc:1.011
 CDTJune/24/2021 12:37:28:580,xyz_acc:-0.149 1.529 -0.379
 CDTJune/24/2021 12:37:28:582,resultant_acc:1.582
 CDTJune/24/2021 12:37:28:620,xyz_acc:-0.114 0.102 -0.811
 CDTJune/24/2021 12:37:29:661,resultant_acc:0.825
 CDTJune/24/2021 12:37:29:795,xyz_acc:-0.068 0.028 -0.981
 CDTJune/24/2021 12:37:29:797,resultant_acc:0.984
 CDTJune/24/2021 12:37:29:899,xyz_acc:-0.088 0.087 -0.966
 CDTJune/24/2021 12:37:29:901,resultant_acc:0.974
 CDTJune/24/2021 12:37:29:934,xyz_acc:-0.054 0.156 -1.064
 CDTJune/24/2021 12:37:29:13,resultant_acc:1.077
 CDTJune/24/2021 12:37:29:119,xyz_acc:-0.076 0.091 -0.987
 CDTJune/24/2021 12:37:29:121,resultant_acc:0.994
 CDTJune/24/2021 12:37:29:164,xyz_acc:-0.071 0.105 -1.0
 CDTJune/24/2021 12:37:29:166,resultant_acc:1.008
 CDTJune/24/2021 12:37:29:235,xyz_acc:-0.068 0.089 -1.011
 CDTJune/24/2021 12:37:29:278,resultant_acc:1.017
 CDTJune/24/2021 12:37:29:380,xyz_acc:-0.072 0.11 -1.0
 CDTJune/24/2021 12:37:29:382,resultant_acc:1.009
 CDTJune/24/2021 12:37:29:424,xyz_acc:-0.076 0.102 -1.001
 CDTJune/24/2021 12:37:29:481,resultant_acc:1.009
 CDTJune/24/2021 12:37:29:561,xyz_acc:-0.073 0.095 -0.979
 CDTJune/24/2021 12:37:29:563,resultant_acc:0.986
 CDTJune/24/2021 12:37:30:668,xyz_acc:-0.08 0.098 -0.977
 CDTJune/24/2021 12:37:30:670,resultant_acc:0.985
 CDTJune/24/2021 12:37:30:726,xyz_acc:-0.075 0.109 -0.993
 CDTJune/24/2021 12:37:30:786,resultant_acc:1.002
 CDTJune/24/2021 12:37:30:839,xyz_acc:-0.077 0.096 -0.984
 CDTJune/24/2021 12:37:30:841,resultant_acc:0.992
 CDTJune/24/2021 12:37:30:999,xyz_acc:-0.072 0.104 -0.994
 CDTJune/24/2021 12:37:30:1,resultant_acc:1.002
 CDTJune/24/2021 12:37:30:40,xyz_acc:-0.073 0.112 -0.998
 CDTJune/24/2021 12:37:30:80,resultant_acc:1.007
 CDTJune/24/2021 12:37:30:127,xyz_acc:-0.078 0.096 -0.986
 CDTJune/24/2021 12:37:30:165,resultant_acc:0.994
 CDTJune/24/2021 12:37:30:245,xyz_acc:-0.076 0.106 -0.991
 CDTJune/24/2021 12:37:30:247,resultant_acc:1.0
 CDTJune/24/2021 12:37:30:332,xyz_acc:-0.076 0.099 -0.989
 CDTJune/24/2021 12:37:30:366,resultant_acc:0.997
 CDTJune/24/2021 12:37:30:440,xyz_acc:-0.07 0.111 -1.006
 CDTJune/24/2021 12:37:30:564,resultant_acc:1.015
 CDTJune/24/2021 12:37:31:631,xyz_acc:-0.075 0.106 -0.998
 CDTJune/24/2021 12:37:31:632,resultant_acc:1.006
 CDTJune/24/2021 12:37:31:677,xyz_acc:-0.066 0.104 -0.984
 CDTJune/24/2021 12:37:31:682,resultant_acc:0.992
 CDTJune/24/2021 12:37:31:718,xyz_acc:-0.075 0.101 -0.981
 CDTJune/24/2021 12:37:31:752,resultant_acc:0.989
 CDTJune/24/2021 12:37:31:896,xyz_acc:-0.072 0.123 -0.992
 CDTJune/24/2021 12:37:31:898,resultant_acc:1.002
 CDTJune/24/2021 12:37:31:947,xyz_acc:-0.069 0.11 -0.989
 CDTJune/24/2021 12:37:31:949,resultant_acc:0.997
 CDTJune/24/2021 12:37:31:22,xyz_acc:-0.067 0.113 -0.988
 CDTJune/24/2021 12:37:31:57,resultant_acc:0.997
 CDTJune/24/2021 12:37:31:253,xyz_acc:-0.074 0.113 -0.984
 CDTJune/24/2021 12:37:31:256,resultant_acc:0.993
 CDTJune/24/2021 12:37:31:284,xyz_acc:-0.073 0.113 -0.987
 CDTJune/24/2021 12:37:31:286,resultant_acc:0.996
 CDTJune/24/2021 12:37:31:349,xyz_acc:-0.071 0.112 -0.985
 CDTJune/24/2021 12:37:31:350,resultant_acc:0.994
 CDTJune/24/2021 12:37:31:498,xyz_acc:-0.075 0.116 -0.992
 CDTJune/24/2021 12:37:31:499,resultant_acc:1.002
 CDTJune/24/2021 12:37:32:631,xyz_acc:-0.072 0.121 -0.99
 CDTJune/24/2021 12:37:32:632,resultant_acc:1.0
 CDTJune/24/2021 12:37:32:634,xyz_acc:-0.07 0.112 -0.984
 CDTJune/24/2021 12:37:32:663,resultant_acc:0.993
 CDTJune/24/2021 12:37:32:729,xyz_acc:-0.072 0.121 -0.992
