 CDTJune/21/2021 15:04:41:35,resultant_acc:0.984
 CDTJune/21/2021 15:04:41:36,xyz_acc:0.137 -0.126 -0.988
 CDTJune/21/2021 15:04:41:189,resultant_acc:1.005
 CDTJune/21/2021 15:04:41:197,xyz_acc:0.133 -0.125 -0.983
 CDTJune/21/2021 15:04:41:216,resultant_acc:1.0
 CDTJune/21/2021 15:04:41:217,xyz_acc:0.134 -0.136 -0.971
 CDTJune/21/2021 15:04:41:218,resultant_acc:0.99
 CDTJune/21/2021 15:04:42:169,xyz_acc:0.143 -0.112 -0.992
 CDTJune/21/2021 15:04:42:209,resultant_acc:1.008
 CDTJune/21/2021 15:04:42:210,xyz_acc:0.132 -0.135 -0.99
 CDTJune/21/2021 15:04:42:212,resultant_acc:1.008
 CDTJune/21/2021 15:04:42:213,xyz_acc:0.135 -0.122 -0.993
 CDTJune/21/2021 15:04:42:214,resultant_acc:1.01
 CDTJune/21/2021 15:04:42:215,xyz_acc:0.142 -0.131 -0.987
 CDTJune/21/2021 15:04:42:258,resultant_acc:1.006
 CDTJune/21/2021 15:04:42:259,xyz_acc:0.135 -0.124 -0.98
 CDTJune/21/2021 15:04:42:291,resultant_acc:0.997
 CDTJune/21/2021 15:04:42:450,xyz_acc:0.13 -0.12 -0.984
 CDTJune/21/2021 15:04:42:470,resultant_acc:1.0
 CDTJune/21/2021 15:04:42:471,xyz_acc:0.129 -0.135 -0.975
 CDTJune/21/2021 15:04:42:536,resultant_acc:0.993
 CDTJune/21/2021 15:04:43:641,xyz_acc:0.132 -0.132 -0.973
 CDTJune/21/2021 15:04:43:645,resultant_acc:0.991
 CDTJune/21/2021 15:04:43:685,xyz_acc:0.13 -0.129 -0.974
 CDTJune/21/2021 15:04:43:686,resultant_acc:0.991
 CDTJune/21/2021 15:04:43:687,xyz_acc:0.144 -0.133 -0.988
 CDTJune/21/2021 15:04:43:688,resultant_acc:1.007
 CDTJune/21/2021 15:04:43:697,xyz_acc:0.121 -0.127 -0.975
 CDTJune/21/2021 15:04:43:699,resultant_acc:0.991
 CDTJune/21/2021 15:04:43:732,xyz_acc:0.123 -0.152 -0.982
 CDTJune/21/2021 15:04:43:733,resultant_acc:1.001
 CDTJune/21/2021 15:04:43:741,xyz_acc:0.141 -0.125 -0.981
 CDTJune/21/2021 15:04:43:802,resultant_acc:0.999
 CDTJune/21/2021 15:04:43:820,xyz_acc:0.132 -0.135 -0.97
 CDTJune/21/2021 15:04:43:821,resultant_acc:0.988
 CDTJune/21/2021 15:04:43:825,xyz_acc:0.139 -0.137 -0.981
 CDTJune/21/2021 15:04:43:826,resultant_acc:1.0
 CDTJune/21/2021 15:04:43:827,xyz_acc:0.133 -0.132 -0.982
 CDTJune/21/2021 15:04:43:828,resultant_acc:1.0
 CDTJune/21/2021 15:04:43:829,xyz_acc:0.121 -0.127 -0.985
 CDTJune/21/2021 15:04:43:830,resultant_acc:1.0
 CDTJune/21/2021 15:04:43:897,xyz_acc:0.139 -0.133 -0.985
 CDTJune/21/2021 15:04:43:898,resultant_acc:1.004
 CDTJune/21/2021 15:04:43:926,xyz_acc:0.138 -0.137 -0.972
 CDTJune/21/2021 15:04:43:935,resultant_acc:0.991
 CDTJune/21/2021 15:04:43:938,xyz_acc:0.132 -0.132 -0.984
 CDTJune/21/2021 15:04:43:939,resultant_acc:1.002
 CDTJune/21/2021 15:04:43:940,xyz_acc:0.129 -0.136 -0.98
 CDTJune/21/2021 15:04:43:940,resultant_acc:0.998
 CDTJune/21/2021 15:04:43:5,xyz_acc:0.129 -0.143 -0.977
 CDTJune/21/2021 15:04:43:6,resultant_acc:0.996
 CDTJune/21/2021 15:34:30:729,xyz_acc:-0.11 -0.385 -0.912
 CDTJune/21/2021 15:34:30:849,resultant_acc:0.996
 CDTJune/21/2021 15:34:30:39,xyz_acc:-0.092 -0.368 -0.924
 CDTJune/21/2021 15:34:30:168,resultant_acc:0.999
 CDTJune/21/2021 15:34:30:171,xyz_acc:-0.101 -0.374 -0.917
 CDTJune/21/2021 15:34:30:291,resultant_acc:0.995
 CDTJune/21/2021 15:34:30:294,xyz_acc:-0.093 -0.381 -0.917
 CDTJune/21/2021 15:34:30:469,resultant_acc:0.997
 CDTJune/21/2021 15:34:30:470,xyz_acc:-0.093 -0.384 -0.919
 CDTJune/21/2021 15:34:31:144,resultant_acc:1.0
 CDTJune/21/2021 15:34:31:247,xyz_acc:-0.092 -0.381 -0.919
 CDTJune/21/2021 15:34:31:321,resultant_acc:0.999
 CDTJune/21/2021 15:34:31:373,xyz_acc:-0.091 -0.383 -0.92
 CDTJune/21/2021 15:34:31:375,resultant_acc:1.001
 CDTJune/21/2021 15:34:31:379,xyz_acc:-0.093 -0.385 -0.917
 CDTJune/21/2021 15:34:31:386,resultant_acc:0.999
 CDTJune/21/2021 15:34:31:440,xyz_acc:-0.097 -0.373 -0.919
